stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06713] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06715] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06716] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06719] added dtor for sample_instance 0000000002BDCD00, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06721] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06723] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06724] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06726] added dtor for sample_instance 0000000002BDCE50, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06728] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06730] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06731] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06733] added dtor for sample_instance 0000000002BDD0F0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06735] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06736] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06738] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06741] added dtor for sample_instance 0000000002BDD240, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06746] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06748] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06750] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06753] added dtor for sample_instance 0000000002BDC670, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06755] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06757] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06758] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06761] added dtor for sample_instance 0000000002BDD390, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06763] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06765] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06766] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06768] added dtor for sample_instance 0000000002BDD4E0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06770] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06772] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06774] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06777] added dtor for sample_instance 0000000002BDD630, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06778] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06780] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06783] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06785] added dtor for sample_instance 0000000002BDDE10, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06787] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06788] 
